word,zipf,length,start,direction,path
RANG,3.72,4,F2-L2,IN,F2-L2 -> F2-L3 -> F2-L4 -> F2-L5
BON,3.71,3,A6-L1,E+IN,A6-L1 -> B6-L2 -> C6-L3
BON,3.71,3,B4-L3,E,B4-L3 -> C4-L3 -> D4-L3
ECO,3.71,3,B1-L5,S+E,B1-L5 -> C2-L5 -> D3-L5
ECO,3.71,3,B3-L5,N+E,B3-L5 -> C2-L5 -> D1-L5
IMO,3.71,3,C1-L2,IN,C1-L2 -> C1-L3 -> C1-L4
IMO,3.71,3,F1-L5,S+W,F1-L5 -> E2-L5 -> D3-L5
IMO,3.71,3,F3-L5,N+W,F3-L5 -> E2-L5 -> D1-L5
NED,3.71,3,E4-L6,OUT,E4-L6 -> E4-L5 -> E4-L4
PCS,3.71,3,F6-L3,N+OUT,F6-L3 -> F5-L2 -> F4-L1
TRI,3.71,3,B5-L6,OUT,B5-L6 -> B5-L5 -> B5-L4
VAL,3.71,3,A5-L1,N+IN,A5-L1 -> A4-L2 -> A3-L3
GRAPE,3.70,5,B2-L1,IN,B2-L1 -> B2-L2 -> B2-L3 -> B2-L4 -> B2-L5
CARR,3.70,4,E6-L1,IN,E6-L1 -> E6-L2 -> E6-L3 -> E6-L4
CHA,3.70,3,B1-L1,S+E+IN,B1-L1 -> C2-L2 -> D3-L3
FIN,3.70,3,F3-L4,IN,F3-L4 -> F3-L5 -> F3-L6
ROT,3.70,3,E6-L4,IN,E6-L4 -> E6-L5 -> E6-L6
ROT,3.70,3,D6-L6,E+OUT,D6-L6 -> E6-L5 -> F6-L4
SUR,3.70,3,C5-L3,OUT,C5-L3 -> C5-L2 -> C5-L1
UTC,3.70,3,E5-L5,OUT,E5-L5 -> E5-L4 -> E5-L3
ZEN,3.70,3,A3-L5,N+E,A3-L5 -> B2-L5 -> C1-L5
APT,3.69,3,F6-L2,IN,F6-L2 -> F6-L3 -> F6-L4
SUSHI,3.68,5,E5-L6,W+OUT,E5-L6 -> D5-L5 -> C5-L4 -> B5-L3 -> A5-L2
ALE,3.68,3,A4-L2,N+IN,A4-L2 -> A3-L3 -> A2-L4
GIN,3.68,3,B2-L1,S+E+IN,B2-L1 -> C3-L2 -> D4-L3
RNA,3.68,3,B2-L2,S+E+IN,B2-L2 -> C3-L3 -> D4-L4
WII,3.68,3,E4-L2,N+IN,E4-L2 -> E3-L3 -> E2-L4
ACC,3.67,3,F6-L2,N,F6-L2 -> F5-L2 -> F4-L2
SAC,3.67,3,C5-L3,E,C5-L3 -> D5-L3 -> E5-L3
ENG,3.66,3,B3-L2,E+IN,B3-L2 -> C3-L3 -> D3-L4
WED,3.66,3,E4-L2,IN,E4-L2 -> E4-L3 -> E4-L4
CBD,3.65,3,C4-L1,N+W,C4-L1 -> B3-L1 -> A2-L1
ELF,3.65,3,A2-L2,S+IN,A2-L2 -> A3-L3 -> A4-L4
ELF,3.65,3,A4-L6,OUT,A4-L6 -> A4-L5 -> A4-L4
KIN,3.65,3,D2-L3,IN,D2-L3 -> D2-L4 -> D2-L5
RUSS,3.64,4,C5-L1,IN,C5-L1 -> C5-L2 -> C5-L3 -> C5-L4
ICC,3.64,3,C5-L5,E+OUT,C5-L5 -> D5-L4 -> E5-L3
KAT,3.64,3,C6-L4,E+IN,C6-L4 -> D6-L5 -> E6-L6
LAN,3.64,3,F6-L1,N+W+IN,F6-L1 -> E5-L2 -> D4-L3
LAN,3.64,3,E1-L3,IN,E1-L3 -> E1-L4 -> E1-L5
LAN,3.64,3,A3-L3,E,A3-L3 -> B3-L3 -> C3-L3
RAF,3.64,3,F1-L3,S,F1-L3 -> F2-L3 -> F3-L3
LANA,3.63,4,A3-L3,E,A3-L3 -> B3-L3 -> C3-L3 -> D3-L3
CDS,3.63,3,C2-L1,S+E,C2-L1 -> D3-L1 -> E4-L1
CDS,3.63,3,C4-L1,N+E,C4-L1 -> D3-L1 -> E2-L1
