title,artist,category_text,url,paragraphs_checked,match_found,match_last_line,match_paragraph_snippet,youtube_covers_recent
Satsuki Ame,Remioromen,,https://animelyricsaz.com/artist/remioromen/satsuki-ame/5400-52548,33,True,Miageta no wa aozora aozora,Miageta no wa aozora aozora,
Serendipity,Kimura Kaela,,https://animelyricsaz.com/artist/kimura-kaela/serendipity/777-41613,43,True,hirogatteku kokoro ni aozora,hirogatteku kokoro ni aozora,
Shalala! Yareru hazusa,Kobushi Factory,,https://animelyricsaz.com/artist/kobushi-factory/shalala-yareru-hazusa/2691-30536,36,True,Kataru wa seishun mezasu wa aozora,Kataru wa seishun mezasu wa aozora,
Shunkashuutou,Hilcrhyme,,https://animelyricsaz.com/artist/hilcrhyme/shunkashuutou/2528-21686,51,True,Saa kyou wa doko ikou ka? hora ano oka no mukou gawa made tsudzuku aozora,Saa kyou wa doko ikou ka? hora ano oka no mukou gawa made tsudzuku aozora,
So long!,AKB48,,https://animelyricsaz.com/artist/akb48/so-long/58-4337,53,True,Me no mae ni hirogaru aozora,Me no mae ni hirogaru aozora,
Sonic Boom,Lead,,https://animelyricsaz.com/artist/lead/sonic-boom/878-51240,60,True,Te wo nobaseba kumo no mukou wa itsumo aozora,Te wo nobaseba kumo no mukou wa itsumo aozora,
Summer Introduction,Tanabe Rui,Tenkahyakken -Zan- (game),https://animelyricsaz.com/game/tenkahyakken-zan/summer-introduction/4100-50732,34,True,Sawayaka na sudachi no kaori no you na aozora,Sawayaka na sudachi no kaori no you na aozora,
Sun Shower,Do as Infinity,,https://animelyricsaz.com/artist/do-as-infinity/sun-shower/324-32932,33,True,Mizutamari ni utsuru aozora,Mizutamari ni utsuru aozora,
SUNNY,Adachi Kana,,https://animelyricsaz.com/artist/adachi-kana/sunny/3865-51334,39,True,Yume ippai ni hirogaru aozora,Yume ippai ni hirogaru aozora,
Taiyou to Ekubo,Momoiro Clover Z,,https://animelyricsaz.com/artist/momoiro-clover-z/taiyou-to-ekubo/1119-10772,26,True,Mabuta ni ochita hikari no shawaa me zameta aozora,Mabuta ni ochita hikari no shawaa me zameta aozora,
Tapioka Milky Tea,The World Standard / Wa-suta,,https://animelyricsaz.com/artist/wa-suta/tapioka-milky-tea/3348-36713,49,True,Amai tapioka MIRUKU TII to manatsu no aozora,Amai tapioka MIRUKU TII to manatsu no aozora,
Tegami,TOKIO,,https://animelyricsaz.com/artist/tokio/tegami/1738-23749,28,True,Chiisana kodomo no me ni utsuru aozora,Chiisana kodomo no me ni utsuru aozora,
Thinking time,NMB48,,https://animelyricsaz.com/artist/nmb48/thinking-time/1208-35552,36,True,Kiritorareta aozora,Kiritorareta aozora,
Tokimeki no ashiato,SKE48,,https://animelyricsaz.com/artist/ske48/tokimeki-no-ashiato/1547-6350,37,True,Kyun to shichau aozora,Kyun to shichau aozora,
Toraware no Mirage,Erabareshi,,https://animelyricsaz.com/artist/erabareshi/toraware-no-mirage/2905-39451,58,True,Hontou no kokoro wo utsusu aozora,Hontou no kokoro wo utsusu aozora,
Very! Very! COCOnatsu,Mira-Cra Park!,Link! Like! Love Live! (game),https://animelyricsaz.com/game/link-like-love-live/very-very-coconatsu/6446-59865,59,True,Very! Kaisei sora wa aozora,Very! Kaisei sora wa aozora,
Welcome Rain,AI (singer),,https://animelyricsaz.com/artist/ai-singer/welcome-rain/35-52801,42,True,Ame ga agareba hiroi aozora,Ame ga agareba hiroi aozora,
Yasai sisters,AKB48,,https://animelyricsaz.com/artist/akb48/yasai-sisters/58-4258,46,True,harewatatta aozora,harewatatta aozora,
Yoake no Shooting Star,Megumi Hayashibara,,https://animelyricsaz.com/artist/megumi-hayashibara/yoake-no-shooting-star/1022-49197,29,True,Miete kita aozora......,Miete kita aozora......,
